fips_code,February,March,April,May,June,July,August,September,October,November
46095.0,0.0,0.0,0.0,0.0,3.0,24.0,24.0,32.0,90.0,129.0
46097.0,0.0,0.0,1.0,1.0,9.0,14.0,16.0,25.0,137.0,172.0
46099.0,0.0,31.0,2038.0,3349.0,3610.0,4150.0,5267.0,6816.0,12325.0,16770.0
46101.0,0.0,0.0,5.0,19.0,22.0,30.0,41.0,98.0,210.0,329.0
46102.0,0.0,0.0,1.0,26.0,85.0,141.0,174.0,295.0,1022.0,1378.0
46103.0,0.0,5.0,12.0,227.0,518.0,811.0,1432.0,2405.0,4787.0,6647.0
46105.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,41.0,80.0,109.0
46107.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,46.0,124.0,210.0
46109.0,0.0,1.0,4.0,36.0,47.0,69.0,100.0,217.0,296.0,507.0
46111.0,0.0,0.0,3.0,13.0,12.0,13.0,15.0,31.0,114.0,179.0
46115.0,0.0,0.0,3.0,5.0,11.0,19.0,52.0,140.0,262.0,433.0
46117.0,0.0,0.0,7.0,10.0,12.0,14.0,21.0,42.0,90.0,146.0
46119.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,13.0,39.0,74.0
46121.0,0.0,1.0,1.0,27.0,57.0,66.0,78.0,128.0,508.0,694.0
46123.0,0.0,0.0,0.0,6.0,16.0,20.0,22.0,164.0,285.0,407.0
46125.0,0.0,1.0,17.0,24.0,24.0,44.0,83.0,168.0,516.0,693.0
46127.0,0.0,1.0,18.0,89.0,123.0,191.0,265.0,408.0,708.0,1014.0
46129.0,0.0,0.0,5.0,5.0,12.0,18.0,43.0,133.0,280.0,355.0
46135.0,0.0,6.0,26.0,51.0,77.0,101.0,231.0,435.0,931.0,1291.0
46137.0,0.0,0.0,0.0,1.0,2.0,8.0,48.0,63.0,108.0,149.0
47001.0,0.0,10.0,28.0,40.0,102.0,571.0,874.0,1224.0,1868.0,2311.0
47003.0,0.0,2.0,173.0,283.0,513.0,823.0,1114.0,1380.0,1753.0,2201.0
47005.0,0.0,4.0,6.0,7.0,12.0,80.0,257.0,342.0,396.0,620.0
47007.0,0.0,2.0,594.0,607.0,617.0,659.0,775.0,864.0,1045.0,1106.0
47009.0,0.0,25.0,56.0,91.0,173.0,1043.0,2010.0,2589.0,3404.0,4239.0
47011.0,0.0,10.0,49.0,122.0,550.0,1651.0,2473.0,2988.0,3753.0,4304.0
47013.0,0.0,4.0,15.0,18.0,36.0,190.0,328.0,467.0,1044.0,1256.0
47015.0,0.0,3.0,12.0,21.0,27.0,110.0,200.0,304.0,427.0,483.0
47017.0,0.0,5.0,18.0,27.0,39.0,191.0,637.0,917.0,1189.0,1442.0
47019.0,0.0,1.0,12.0,19.0,54.0,390.0,829.0,1199.0,1745.0,2240.0
47021.0,0.0,10.0,46.0,123.0,202.0,516.0,710.0,828.0,1122.0,1319.0
47023.0,0.0,3.0,10.0,12.0,23.0,181.0,377.0,653.0,750.0,811.0
47025.0,0.0,2.0,5.0,9.0,25.0,206.0,366.0,449.0,534.0,623.0
47027.0,0.0,0.0,5.0,7.0,16.0,58.0,112.0,243.0,379.0,470.0
47029.0,0.0,1.0,16.0,20.0,58.0,369.0,642.0,759.0,1097.0,1405.0
47031.0,0.0,1.0,36.0,73.0,108.0,370.0,764.0,1302.0,1943.0,2346.0
47033.0,0.0,0.0,7.0,16.0,31.0,216.0,403.0,558.0,802.0,1037.0
47035.0,0.0,11.0,74.0,112.0,168.0,365.0,826.0,1223.0,1623.0,2079.0
47037.0,0.0,541.0,2612.0,5040.0,9237.0,18978.0,23474.0,26874.0,33037.0,37364.0
47039.0,0.0,0.0,4.0,5.0,21.0,150.0,303.0,538.0,645.0,719.0
47041.0,0.0,4.0,15.0,37.0,52.0,295.0,469.0,576.0,751.0,902.0
47043.0,0.0,17.0,72.0,109.0,175.0,575.0,913.0,1297.0,1722.0,2275.0
47045.0,0.0,3.0,34.0,50.0,214.0,515.0,964.0,1430.0,2071.0,2780.0
47047.0,0.0,12.0,56.0,115.0,273.0,596.0,886.0,1236.0,1708.0,1973.0
47049.0,0.0,1.0,4.0,12.0,17.0,71.0,223.0,588.0,926.0,1063.0
47051.0,0.0,5.0,36.0,53.0,75.0,258.0,492.0,1010.0,1234.0,1647.0
47053.0,0.0,6.0,43.0,63.0,100.0,537.0,1115.0,1746.0,2078.0,2462.0
47055.0,0.0,3.0,8.0,12.0,50.0,321.0,442.0,654.0,986.0,1241.0
47057.0,0.0,0.0,5.0,8.0,35.0,162.0,278.0,404.0,617.0,790.0
47059.0,0.0,12.0,44.0,50.0,85.0,344.0,820.0,1185.0,1967.0,2451.0
47061.0,0.0,4.0,28.0,31.0,58.0,97.0,149.0,326.0,578.0,682.0
47063.0,0.0,2.0,18.0,36.0,220.0,1183.0,1659.0,1965.0,2582.0,2961.0
47065.0,0.0,50.0,156.0,794.0,2466.0,5483.0,7998.0,9687.0,11952.0,14202.0
47067.0,0.0,0.0,0.0,1.0,3.0,71.0,92.0,109.0,128.0,129.0
47069.0,0.0,1.0,14.0,196.0,299.0,760.0,1238.0,1589.0,1909.0,2100.0
47071.0,0.0,1.0,5.0,15.0,93.0,386.0,700.0,1077.0,1451.0,1574.0
47073.0,0.0,4.0,30.0,33.0,51.0,291.0,669.0,843.0,1299.0,1462.0
47075.0,0.0,2.0,20.0,31.0,71.0,363.0,744.0,1006.0,1305.0,1474.0
47077.0,0.0,0.0,7.0,15.0,32.0,420.0,878.0,1195.0,1454.0,1569.0
47079.0,0.0,1.0,13.0,30.0,42.0,177.0,460.0,640.0,809.0,1078.0
47081.0,0.0,0.0,44.0,58.0,70.0,208.0,376.0,612.0,779.0,950.0
